Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
What's up,4 Non Blondes,1/1/1993,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,lyrics
Grow Old With You,Adam Sandler,2/13/1998,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
Sober Up,AJR,3/20/2018,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c9fd18c7-f38c-47e4-853e-8c0fdf3cd125/
We're in This Love Together,Al Jarreau,7/1/1981,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e2e41ff7-bad8-4726-8c28-1a0da3c4989c/
Too Close,Alex Clare,4/15/2011,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/eace238f-c5f7-464a-82ba-127506fbbd8e/
If I Ain't Got You,Alicia Keys,2/17/2004,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c47cb7dd-0443-44fb-afa5-e0c6181e95a5/
Ramblin' Man,Allman Brothers,8/1/1973,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/abeb9c0c-c257-4856-b063-fc28e60c5011/
I Need A Dollar,Aloe Blacc,3/16/2010,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/69b9db95-2cbf-4bcb-b8f2-28d762e183e5/
Wake Me Up,Aloe Blacc,10/22/2013,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a3297b17-2e6b-4ec0-aad1-ae440665662a/
Left Hand Free,Alt-J,7/7/2014,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/aa807fb7-faa1-4c3a-b542-a139e7dc4624/
Best Day Of My Life,American Authors,3/19/2013,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c7e38959-f992-4645-813f-d27b2d7a29f6/
Arms of a Woman,Amos Lee,3/1/2005,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/30d4a822-e4b3-417a-9b49-5779d03a3d63/
Colors,Amos Lee,3/1/2005,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e9afed64-7a68-4341-b084-96c0ea6de309/
Supply and Demand,Amos Lee,10/3/2006,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/9ad748db-05f9-4654-9646-1ae302bc6256/
Sweet Pea,Amos Lee,10/3/2006,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/03158e12-9286-4554-83cd-0366082356ad/
What's Been Going On,Amos Lee,6/24/2008,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/25f8bcfe-6654-486d-abd7-c039abab1e9c/
Rehab,Amy Winehouse,1/1/2006,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Valerie,Amy Winehouse,1/1/2006,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Keep Your Head Up,Andy Grammar,2/14/2011,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f1c05bf0-e9bd-4a18-9de9-02c05ea87989/
Head full of Doubt/Road Full of Promise,Avett Brothers,9/29/2009,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/546b849f-2b0c-4719-b8bb-3a6530b1e31a/
I and Love and You,Avett Brothers,9/29/2009,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/ff46a944-ccc5-4cc2-9620-460f8317fc34/
